video_id,cut_id,start_sec,end_sec,duration_sec,visual,subtitle,audio,motion,effect,confidence,time_error_sec
02_hare,G,8.00,20.00,12.00,騎士に乗って通学など,騎士は頼もしくて / 学校まで運んでくれて ほか,未確認,未計測,なし,sampled,1.00
02_hare,H,60.00,67.60,7.60,教室で母と女子が抱き合い泣く,無事でよかった！（青）,未確認,未計測,なし,sampled,1.00
03_kami,A,0.00,0.50,0.50,住宅の外観,私は毎日 / 髪の長さが変わる,未確認,静止,なし,confirmed_visual,0.20
03_kami,B,0.50,0.90,0.40,玄関。肩までの髪の女子,同,未確認,寄り（別絵）,なし,confirmed_visual,0.20
03_kami,C,0.90,1.80,0.90,同じ玄関。短い髪,同,未確認,髪型差し替えのハードカット,なし,confirmed_visual,0.20
03_kami,D,1.80,2.80,1.00,校舎前。坊主で泣く,昨日は坊主で,未確認,未計測,なし,confirmed_visual,0.20
03_kami,E,2.80,4.50,1.70,教室。髪に埋もれる,今日は髪に埋もれて / モンジャラみたいに / なってるし,未確認,未計測,集中線,confirmed_visual,0.30
03_kami,F,4.50,8.00,3.50,赤ん坊と助産師の顔,産まれた時は毛の塊で / 出てきたから助産師さん / もパニック,未確認,未計測,なし,confirmed_visual,0.50
03_kami,G,50.00,57.90,7.90,再び家の外観,ウキウキで / 楽しみにしてた / 撮影当日,未確認,未計測,なし,sampled,1.00
04_himitsu,A,0.00,0.50,0.50,麻辣湯店。鍋を持つ女子,麻辣湯食べに行くと,未確認,静止,なし,confirmed_visual,0.20
04_himitsu,B,0.50,0.90,0.40,店内。2人の後ろ姿,同,未確認,ハードカット,なし,confirmed_visual,0.20
04_himitsu,C,0.90,1.80,0.90,店員と客。会計,同,未確認,ハードカット,なし,confirmed_visual,0.20
04_himitsu,D,1.80,2.80,1.00,店員正面,5シークレット / になります,未確認,未計測,なし（黄字幕）,confirmed_visual,0.20
04_himitsu,E,2.80,4.50,1.70,客が耳打ち。店員が赤いランプの端末,前のお客さんが / 耳打ちで,未確認,未計測,なし,confirmed_visual,0.30
04_himitsu,F,4.50,8.00,3.50,店員アップ。端末。怒りマーク,ピッ,未確認,顔へ寄り,顔が暗い,confirmed_visual,0.50
04_himitsu,G,50.00,58.96,8.96,夜道。スマホを見て泣く,そんなぁ…,未確認,未計測,なし,sampled,1.00
05_sannin,A,0.00,0.50,0.50,バー。3人。男が歩く,彼氏とバーに行ったら偶然,未確認,歩きのポーズ,なし,confirmed_visual,0.20
05_sannin,B,0.50,0.90,0.40,男とピンクの女が並ぶ,同,未確認,ハードカット,なし,confirmed_visual,0.20
05_sannin,C,0.90,1.80,0.90,男と黒い服の女が対面。驚き,同,未確認,顔アップへ切替,なし,confirmed_visual,0.20
05_sannin,D,1.80,2.50,0.70,白Tの男（トモカズ）。左右は切れ,隣に私の浮気相手の / トモカズがいて,未確認,ズームイン（推定）,集中線,confirmed_visual,0.20
05_sannin,E,2.50,4.50,2.00,トモカズへさらに寄る,同,未確認,ズームイン（推定）,集中線が強い,confirmed_visual,0.30
05_sannin,F,4.50,8.00,3.50,彼氏がカウンターで横顔,そのこと考えすぎて,未確認,ハードカット,なし,confirmed_visual,0.50
05_sannin,G,50.00,54.52,4.52,2人の男がドアへ。手前の女が手を伸ばす,母さんと三人で暮らそう（緑）,未確認,未計測,赤いランプ,sampled,0.50
